# RA DEC XI ETA F475W F814W V VERR
11.204 41.383 0.39 0.115 21.541 20.64 -224.793 5.171 
11.146 41.384 0.347 0.115 19.793 19.15 -228.37 2.692 
11.157 41.391 0.354 0.123 21.174 20.152 -222.486 9.115 
11.185 41.393 0.376 0.125 20.993 20.808 -129.108 15.498 
11.188 41.396 0.378 0.128 19.578 18.086 -195.885 0.749 
11.167 41.396 0.362 0.128 21.878 21.272 -195.499 11.269 
11.178 41.404 0.371 0.136 22.284 21.595 -172.454 5.734 
11.152 41.406 0.351 0.138 21.587 19.932 -213.891 4.353 
11.185 41.407 0.376 0.139 21.999 21.404 -428.974 12.37 
11.168 41.411 0.363 0.143 21.598 20.514 -241.958 6.386 
11.155 41.415 0.353 0.147 21.693 20.768 -172.772 11.631 
11.152 41.422 0.351 0.154 19.366 19.21 -235.423 7.534 
11.168 41.432 0.363 0.164 21.275 21.377 -242.788 8.682 
11.171 41.437 0.365 0.169 20.407 20.144 -174.015 12.976 
11.154 41.439 0.353 0.171 22.016 21.833 -302.539 37.041 
11.138 41.444 0.341 0.175 21.08 19.583 -248.327 2.269 
11.187 41.446 0.377 0.178 19.774 19.755 -225.991 6.646 
11.134 41.452 0.337 0.183 22.239 21.205 -227.921 23.218 
11.217 41.453 0.4 0.185 21.533 20.56 -190.205 5.103 
11.146 41.455 0.347 0.186 22.023 21.119 -216.194 42.018 
11.193 41.455 0.382 0.187 21.8 21.664 -237.778 23.274 
11.19 41.458 0.379 0.19 21.643 21.598 -170.487 21.575 
11.132 41.459 0.336 0.191 21.331 19.833 -80.695 43.099 
11.19 41.468 0.38 0.2 20.518 20.473 -200.184 -299800.0 
11.202 41.474 0.388 0.206 21.878 21.797 -14.307 5.456 
11.168 41.478 0.363 0.209 21.463 20.638 -185.27 17.774 
11.197 41.479 0.385 0.211 21.685 20.975 -26.007 13.939 
11.128 41.484 0.332 0.215 21.309 21.12 -97.549 -299800.0 
11.159 41.487 0.356 0.218 20.482 20.582 -107.719 10.52 
11.115 41.496 0.323 0.228 22.386 21.246 -82.574 11.814 
11.126 41.497 0.331 0.228 18.931 17.902 -175.42 0.443 
11.123 41.509 0.329 0.24 21.571 20.126 -173.097 2.877 
11.186 41.513 0.377 0.244 20.97 20.68 -144.179 10.857 
11.131 41.536 0.335 0.268 22.064 21.868 -42.786 8.066 
11.157 41.542 0.354 0.274 21.723 20.189 -170.401 2.651 
